email,label
"Congratulations! You have been selected as the winner of our $1000 Amazon gift card. Click here immediately to claim your prize before it expires.",0
"Your bank account has been suspended due to suspicious activity. Please verify your identity by clicking the link below immediately.",0
"URGENT: Your PayPal account has been limited. You must confirm your information within 24 hours or your account will be permanently closed.",0
"Dear customer, we detected unusual login activity on your Netflix account. Click here to secure your account now.",0
"You have a pending package delivery. Please confirm your address and pay a small $2.99 redelivery fee to receive your package.",0
"Your Apple ID has been locked due to too many failed login attempts. Click here to unlock your account immediately.",0
"Congratulations! You have won a free iPhone 15. You are our lucky visitor today. Click the link to claim your reward.",0
"ALERT: Your Microsoft account password will expire in 24 hours. Click here to update your password and avoid losing access.",0
"Dear valued customer, your Chase Bank account has been compromised. Please verify your account details immediately to restore access.",0
"You have received a secure message from your HR department. Click here to view your updated salary and benefits information.",0
"Your Amazon order has been placed on hold. There is a problem with your payment method. Please update your billing information now.",0
"FINAL NOTICE: Your social security number has been suspended due to suspicious activity. Call us immediately to avoid arrest.",0
"Congratulations! As a loyal customer you have been selected to receive a $500 Walmart gift card. Claim it before midnight tonight.",0
"Your Gmail account has been accessed from an unknown device in Russia. Click here immediately to secure your account.",0
"Dear user, your Dropbox account storage is full. Upgrade now for free by verifying your account information at the link below.",0
"URGENT ACTION REQUIRED: Your tax refund of $3,240 is ready to be deposited. Confirm your bank details to receive your refund.",0
"Your streaming subscription has expired. Renew now for just $1 and get 3 months free. Limited time offer, act fast.",0
"We noticed a sign-in to your Google account from a new device. If this was not you click here to secure your account.",0
"Your package from FedEx could not be delivered. Please pay a $1.99 customs fee to release your package from our facility.",0
"WINNER NOTIFICATION: Your email address has won £850,000 in the UK National Lottery. Reply with your details to claim.",0
"Dear account holder, your credit card ending in 4521 has been charged $892.00. If you did not authorize this click here.",0
"Your Instagram account will be disabled in 48 hours due to a violation. Click here to appeal and restore your account.",0
"IMPORTANT: Your computer has been infected with a virus. Call our toll free number immediately to speak with a technician.",0
"Congratulations! You have been pre-approved for a $50,000 personal loan with 0% interest. Click here to claim your offer.",0
"Your Venmo account has been temporarily suspended. Please verify your identity within 12 hours to restore full access.",0
"Dear beneficiary, I am a lawyer representing the estate of a deceased client who shares your surname. You are entitled to $4.5 million.",0
"Your DocuSign document is ready for review. Click the link below to sign your important legal document immediately.",0
"SECURITY ALERT: Someone is trying to access your online banking. Confirm your identity now to block unauthorized access.",0
"You have been selected for a free government grant of $8,500. No repayment required. Click here to apply in 60 seconds.",0
"Your Coinbase account has been flagged for suspicious activity. Verify your wallet immediately to prevent losing your funds.",0
"Dear winner, your email has been randomly selected to receive a cash prize of $25,000. Reply to claim your winnings today.",0
"Your LinkedIn profile has been viewed by a recruiter at Google. Click here to see who viewed your profile and apply now.",0
"URGENT: Your electricity will be disconnected in 2 hours due to an unpaid balance. Call now to make an emergency payment.",0
"Your Spotify account has been accessed from an unfamiliar location. Reset your password immediately to protect your account.",0
"Congratulations! You have qualified for a $1,200 stimulus check. Verify your information to receive your payment within 24 hours.",0
"Dear user, your password was exposed in a recent data breach. Click here immediately to change your password and stay safe.",0
"NOTICE: Your vehicle warranty is about to expire. Call now to renew your coverage and avoid costly repair bills.",0
"Your Airbnb reservation has been cancelled due to a payment issue. Update your payment method now to keep your booking.",0
"You owe $2,340 in unpaid taxes. Failure to pay within 24 hours will result in legal action and possible arrest.",0
"Your Twitter account has been suspended for violating community guidelines. Click here to appeal and restore your account now.",0
"Dear customer, you have an unclaimed refund of $347 from a previous purchase. Click here to receive your refund today.",0
"ALERT: Your iCloud storage is 100% full. Your photos and data are at risk. Click here to get 50GB free immediately.",0
"Congratulations! You have been chosen to test our new product for free. Just pay $4.99 shipping to receive your package.",0
"Your WhatsApp account has been registered on a new device. If this was not you click here to secure your account now.",0
"Dear investor, I have an exclusive opportunity for guaranteed 300% returns on cryptocurrency. Invest today before it is too late.",0
"Your health insurance claim has been denied. Click here to appeal the decision and receive the $4,500 you are owed.",0
"FINAL WARNING: Your domain name is about to expire. Renew now to prevent losing your website and email permanently.",0
"You have a new voicemail from an unknown number. Click here to listen to your message and find out who called you.",0
"Your Uber account has been temporarily disabled due to unusual activity. Verify your information to restore your account access.",0
"Dear friend, I am contacting you from Nigeria with an urgent business proposal worth $12 million. Your assistance is needed.",0
"SECURITY NOTICE: We detected a login to your account from Beijing China. Click here immediately if this was not you.",0
"Congratulations! Your survey response has been selected. Claim your $750 reward by completing your profile information today.",0
"Your mortgage payment could not be processed. Update your payment information immediately to avoid foreclosure proceedings.",0
"ALERT: Your antivirus subscription has expired. Your computer is now vulnerable. Click here to renew your protection today.",0
"You have been selected to participate in a paid research study. Earn $500 from home. Click here to get started today.",0
"Dear account holder, your recent transaction of $1,240 has been flagged as suspicious. Click here to verify this purchase.",0
"Your Zoom account has been suspended. A complaint has been filed against you. Click here to review the complaint immediately.",0
"WINNER: You are today's lucky visitor. Spin the wheel to win an iPhone MacBook or $1000 cash prize right now.",0
"Your student loan forgiveness application has been approved. Click here to confirm your details and receive your $20,000 relief.",0
"Dear customer, we are updating our privacy policy. Please verify your account details to continue using our services.",0
"URGENT: Your social media accounts will be deleted in 24 hours. Click here to verify your identity and keep your accounts.",0
"Your recent job application has been reviewed. Click here to complete your background check and receive your job offer.",0
"Congratulations! You have been selected as a mystery shopper. Earn $300 per week working from home. Apply now.",0
"Your bank has issued a new security certificate. Please log in through the link below to install the update on your account.",0
"NOTICE: A lawsuit has been filed against you. Click here to view the legal documents and respond before the deadline.",0
"Your retirement account has been flagged for unusual activity. Log in immediately to prevent unauthorized withdrawals.",0
"Dear valued member, your account points are about to expire. Click here to redeem $200 worth of rewards before midnight.",0
"SECURITY ALERT: Your email password has been compromised. Change it immediately by clicking this secure link we have provided.",0
"You have been pre-selected for an exclusive credit card with no annual fee and $500 cashback. Apply now before offer expires.",0
"Your child's school account has been locked. Click here to verify your parental information and restore access immediately.",0
"URGENT: We could not process your recent order. Please update your payment information within 2 hours to avoid cancellation.",0
"Congratulations! You have earned 5,000 bonus miles. Click here to redeem your miles before they expire at midnight tonight.",0
"Your medical records have been digitized. Click here to access your records and update your insurance information today.",0
"ALERT: Suspicious charges have been detected on your debit card. Call our fraud department immediately to dispute the charges.",0
"Dear subscriber, your free trial ends today. Enter your payment details now to avoid any interruption to your service.",0
"Your rental application has been approved! Click here to complete the process and pay your security deposit online today.",0
"NOTICE: Your car registration is overdue. Pay the $45 fine online now to avoid additional penalties and license suspension.",0
"You have a new secure message from your doctor. Click here to view your test results and important health information.",0
"Dear user, our records show you are eligible for a $2,500 education grant. Apply now before funding runs out this week.",0
"FINAL NOTICE: Your Netflix account will be cancelled today. Update your billing information now to continue watching.",0
"Congratulations! You have been randomly selected to receive a free luxury vacation. Click here to claim your free trip.",0
"Your PayPal payment of $299 to unknown merchant has been sent. If you did not authorize this click here immediately.",0
"URGENT: Your driving license has been flagged for suspension. Pay the outstanding fine online now to keep your license.",0
"Dear customer, you have an uncollected parcel at the post office. Pay $3.50 online to arrange redelivery of your package.",0
